,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
121,2022-07-07,120.76355894258943,108.55332770676657,131.58341639873157,120.76355894258943,120.76355894258943,-1.3918742917380966,-1.3918742917380966,-1.3918742917380966,-1.3918742917380966,-1.3918742917380966,-1.3918742917380966,0.0,0.0,0.0,119.37168465085134
122,2022-07-08,120.97139262514574,107.62069381465493,130.20475540094645,120.97139262514574,120.97139262514574,-1.7942385929720497,-1.7942385929720497,-1.7942385929720497,-1.7942385929720497,-1.7942385929720497,-1.7942385929720497,0.0,0.0,0.0,119.17715403217369
123,2022-07-11,121.59489367281465,109.337124701754,131.28815377732784,121.59489367281465,121.59489367281465,-0.870085682781228,-0.870085682781228,-0.870085682781228,-0.870085682781228,-0.870085682781228,-0.870085682781228,0.0,0.0,0.0,120.72480799003343
124,2022-07-12,121.80272735537096,108.60085831333568,131.54026990423483,121.80272735537096,121.80272735537096,-1.1778513325093443,-1.1778513325093443,-1.1778513325093443,-1.1778513325093443,-1.1778513325093443,-1.1778513325093443,0.0,0.0,0.0,120.62487602286161
125,2022-07-13,122.01056103792726,109.42189207455318,133.6597295672231,122.01056103792726,122.01056103792726,-1.1415126762088597,-1.1415126762088597,-1.1415126762088597,-1.1415126762088597,-1.1415126762088597,-1.1415126762088597,0.0,0.0,0.0,120.8690483617184
126,2022-07-14,122.21839472048357,109.35674203192802,132.30283372400848,122.21839472048357,122.21839472048357,-1.3918742917398725,-1.3918742917398725,-1.3918742917398725,-1.3918742917398725,-1.3918742917398725,-1.3918742917398725,0.0,0.0,0.0,120.8265204287437
127,2022-07-15,122.42622840303987,108.57273145834816,131.7193619411561,122.42622840303987,122.42622840303987,-1.7942385929714293,-1.7942385929714293,-1.7942385929714293,-1.7942385929714293,-1.7942385929714293,-1.7942385929714293,0.0,0.0,0.0,120.63198981006845
128,2022-07-18,123.04972971495603,110.05828965540401,133.81461309970248,123.04972971495603,123.04972971495603,-0.8700856827845429,-0.8700856827845429,-0.8700856827845429,-0.8700856827845429,-0.8700856827845429,-0.8700856827845429,0.0,0.0,0.0,122.17964403217148
129,2022-07-19,123.25756348559474,110.04579976657266,133.8063667511679,123.25756348559474,123.25756348559474,-1.1778513325124245,-1.1778513325124245,-1.1778513325124245,-1.1778513325124245,-1.1778513325124245,-1.1778513325124245,0.0,0.0,0.0,122.07971215308233
130,2022-07-20,123.46539725623346,109.68881507315749,133.80676003868695,123.46539725623346,123.46539725623346,-1.1415126762092864,-1.1415126762092864,-1.1415126762092864,-1.1415126762092864,-1.1415126762092864,-1.1415126762092864,0.0,0.0,0.0,122.32388458002417
131,2022-07-21,123.67323102687217,110.69241172604255,133.78145810644477,123.67323102687217,123.67323102687217,-1.3918742917405693,-1.3918742917405693,-1.3918742917405693,-1.3918742917405693,-1.3918742917405693,-1.3918742917405693,0.0,0.0,0.0,122.28135673513161
132,2022-07-22,123.88106479751089,110.34450648553852,133.63407284251505,123.88106479751089,123.88106479751089,-1.7942385929793687,-1.7942385929793687,-1.7942385929793687,-1.7942385929793687,-1.7942385929793687,-1.7942385929793687,0.0,0.0,0.0,122.08682620453152
133,2022-07-25,124.50456610942702,112.26384800931918,135.4390424972345,124.50456610942702,124.50456610942702,-0.8700856827878583,-0.8700856827878583,-0.8700856827878583,-0.8700856827878583,-0.8700856827878583,-0.8700856827878583,0.0,0.0,0.0,123.63448042663916
134,2022-07-26,124.71239988006573,111.63853641189999,135.44551786545165,124.71239988006573,124.71239988006573,-1.1778513325138338,-1.1778513325138338,-1.1778513325138338,-1.1778513325138338,-1.1778513325138338,-1.1778513325138338,0.0,0.0,0.0,123.53454854755189
135,2022-07-27,124.92023365070447,112.0548118431136,134.87132675931454,124.92023365070447,124.92023365070447,-1.1415126762090027,-1.1415126762090027,-1.1415126762090027,-1.1415126762090027,-1.1415126762090027,-1.1415126762090027,0.0,0.0,0.0,123.77872097449547
136,2022-07-28,125.12806735407489,111.75762314485397,134.88897827384142,125.12806735407489,125.12806735407489,-1.3918742917412656,-1.3918742917412656,-1.3918742917412656,-1.3918742917412656,-1.3918742917412656,-1.3918742917412656,0.0,0.0,0.0,123.73619306233363
137,2022-07-29,125.3359010574453,111.7403791041214,135.8424149317574,125.3359010574453,125.3359010574453,-1.7942385929787483,-1.7942385929787483,-1.7942385929787483,-1.7942385929787483,-1.7942385929787483,-1.7942385929787483,0.0,0.0,0.0,123.54166246446655
138,2022-08-01,125.95940216755659,113.73322208815335,136.50979566965955,125.95940216755659,125.95940216755659,-0.8700856827872591,-0.8700856827872591,-0.8700856827872591,-0.8700856827872591,-0.8700856827872591,-0.8700856827872591,0.0,0.0,0.0,125.08931648476933
139,2022-08-02,126.167235870927,113.38311221452086,136.42416995973184,126.167235870927,126.167235870927,-1.177851332509445,-1.177851332509445,-1.177851332509445,-1.177851332509445,-1.177851332509445,-1.177851332509445,0.0,0.0,0.0,124.98938453841755
